,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-11-10,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-21
2024-11-11,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-21
2024-11-12,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-13,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-14,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-15,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-16,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-17,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-18,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-11-25
2024-11-19,0.0,0.0,4.0,4.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-20,0.0,0.0,26.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-21,0.0,0.0,27.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-22,0.0,0.0,17.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-23,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-24,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-25,0.0,0.0,35.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-02
2024-11-26,0.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-11-27,0.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-11-28,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-11-29,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-11-30,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-12-01,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-12-02,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-09
2024-12-03,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-04,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-05,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-06,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-07,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-08,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-09,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-16
2024-12-10,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-11,1.0,1.0,25.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-12,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-13,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-14,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-15,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-16,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-23
2024-12-17,0.0,0.0,12.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-18,0.0,0.0,8.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-19,0.0,0.0,14.0,4.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-20,0.0,0.0,21.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-21,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-22,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-23,0.0,0.0,21.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2024-12-30
2024-12-24,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-25,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-26,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-27,0.0,0.0,17.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-28,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
